Short Term Suspensions,,,,,,,,
7/14/2022,,,,,,,,
,,,,,,,,
Year,School,Division,Subgroup,Level,Percent of the Student Population,Number Suspended Short Term,Number of Short Term Suspendable Incidents,Percent of Short Term Suspensions
2019 - 2020,Loudoun County Public Schools,Sugarland Elementary,White,SCH,10,,,
2019 - 2020,Loudoun County Public Schools,Sully Elementary,Asian,SCH,7.9,,,
2019 - 2020,Loudoun County Public Schools,Sully Elementary,Black,SCH,3.4,,,
2019 - 2020,Loudoun County Public Schools,Sully Elementary,Hispanic,SCH,86.4,1,1,100
2019 - 2020,Loudoun County Public Schools,Sully Elementary,White,SCH,6.6,,,
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,Asian,SCH,18.4,,,
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,Black,SCH,7.1,,,
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,Hispanic,SCH,52,,,
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,White,SCH,20.9,,,
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,Asian,SCH,4.9,,,
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,Black,SCH,4.9,,,
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,Hispanic,SCH,81.5,,,
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,White,SCH,6.9,,,
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,Asian,SCH,17.3,,,
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,Black,SCH,9.6,,,
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,Hispanic,SCH,57.9,,,
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,White,SCH,16.9,,,
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,Asian,SCH,10.1,,,
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,Black,SCH,6.4,,,
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,Hispanic,SCH,61.1,,,
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,White,SCH,16.9,1,2,50
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,Asian,SCH,9.2,,,
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,Black,SCH,7.3,,,
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,Hispanic,SCH,71.3,,,
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,White,SCH,8.6,,,
2020 - 2021,Loudoun County Public Schools,Sully Elementary,Asian,SCH,5.9,,,
2020 - 2021,Loudoun County Public Schools,Sully Elementary,Black,SCH,3.4,,,
2020 - 2021,Loudoun County Public Schools,Sully Elementary,Hispanic,SCH,85.8,,,
2020 - 2021,Loudoun County Public Schools,Sully Elementary,White,SCH,5.7,,,
