Assessments,,,,,,,,,,,,
7/14/2022,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass,Percent Proficiency,Advance,Fail,Record Count
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,ENGR,English Reading,58,49,8,42,291
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,ENGR,English Reading,64,52,12,36,25
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,ENGR,English Reading,52,48,5,48,21
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,ENGR,English Reading,62,51,11,38,140
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,ENGR,English Reading,51,44,7,49,208
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,ENGR,English Reading,41,38,3,59,34
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,ENGR,English Reading,54,48,5,46,151
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,ENGR,English Reading,32,32,-,68,31
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,ENGR,English Reading,97,83,13,3,30
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,MATH,Mathematics,74,65,9,26,292
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,MATH,Mathematics,69,54,15,31,26
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,MATH,Mathematics,71,67,5,29,21
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,MATH,Mathematics,74,67,7,26,141
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,MATH,Mathematics,71,66,5,29,208
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,MATH,Mathematics,68,62,6,32,34
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,MATH,Mathematics,74,64,10,26,151
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,MATH,Mathematics,48,45,3,52,31
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,MATH,Mathematics,93,67,27,7,30
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,SCI,Science,57,48,10,43,94
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,SCI,Science,57,45,11,43,44
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,SCI,Science,51,42,8,49,71
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,SCI,Science,58,50,8,42,50
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,ENGR,English Reading,46,38,8,54,219
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,ENGR,English Reading,73,47,27,27,15
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,,ENGR,English Reading,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,,ENGR,English Reading,50,40,10,50,105
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Foster Care,,ENGR,English Reading,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,ENGR,English Reading,41,35,5,59,172
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,ENGR,English Reading,21,21,-,79,28
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,,ENGR,English Reading,41,36,5,59,114
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,ENGR,English Reading,31,19,13,69,32
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,,ENGR,English Reading,75,55,20,25,20
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,MATH,Mathematics,65,60,5,35,218
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,MATH,Mathematics,80,47,33,20,15
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,,MATH,Mathematics,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,,MATH,Mathematics,67,63,4,33,105
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,MATH,Mathematics,62,59,3,38,171
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,MATH,Mathematics,39,39,-,61,28
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,,MATH,Mathematics,63,58,5,37,113
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,MATH,Mathematics,39,26,13,61,31
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,,MATH,Mathematics,80,80,-,20,20
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,SCI,Science,72,62,11,28,76
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Female,,SCI,Science,71,60,11,29,35
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,SCI,Science,69,62,7,31,58
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,SCI,Science,<,<,<,<,0
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Male,,SCI,Science,73,63,10,27,41
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,SCI,Science,50,43,7,50,14
2018 - 2019,Loudoun County Public Schools,Sully Elementary,SCH,White,,SCI,Science,91,64,27,9,11
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,ENGR,English Reading,52,47,5,48,251
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,ENGR,English Reading,59,50,9,41,56
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,ENGR,English Reading,56,56,-,44,16
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,ENGR,English Reading,54,48,6,46,119
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,ENGR,English Reading,41,38,2,59,125
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,ENGR,English Reading,30,30,-,70,20
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,ENGR,English Reading,51,46,5,49,132
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,ENGR,English Reading,33,30,3,67,30
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,ENGR,English Reading,71,63,8,29,49
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,MATH,Mathematics,36,34,2,64,259
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,MATH,Mathematics,53,47,7,47,58
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,MATH,Mathematics,42,42,-,58,19
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,MATH,Mathematics,30,28,2,70,122
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,MATH,Mathematics,20,20,-,80,128
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,MATH,Mathematics,9,9,-,91,22
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,MATH,Mathematics,42,39,2,58,137
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,,MATH,Mathematics,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,MATH,Mathematics,13,13,-,87,30
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,MATH,Mathematics,57,53,4,43,49
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,SCI,Science,34,29,5,66,83
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,SCI,Science,46,33,13,54,24
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,SCI,Science,18,12,6,82,34
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,SCI,Science,16,16,-,84,38
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,SCI,Science,45,41,4,55,49
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,SCI,Science,50,44,6,50,16
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,ENGR,English Reading,38,37,1,62,223
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,,ENGR,English Reading,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,ENGR,English Reading,50,50,-,50,10
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,ENGR,English Reading,80,80,-,20,10
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,ENGR,English Reading,39,37,2,61,105
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,ENGR,English Reading,32,32,1,68,188
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,ENGR,English Reading,24,24,-,76,49
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,ENGR,English Reading,36,36,-,64,118
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,ENGR,English Reading,39,39,-,61,31
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,,ENGR,English Reading,64,55,9,36,11
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,MATH,Mathematics,28,27,-,72,222
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,MATH,Mathematics,30,30,-,70,10
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,MATH,Mathematics,60,60,-,40,10
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,MATH,Mathematics,23,23,-,77,102
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,MATH,Mathematics,24,23,1,76,187
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,MATH,Mathematics,14,14,-,86,50
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,MATH,Mathematics,33,32,1,68,120
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,MATH,Mathematics,27,27,-,73,30
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,,MATH,Mathematics,64,64,-,36,11
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,SCI,Science,16,16,-,84,61
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,SCI,Science,10,10,-,90,30
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,SCI,Science,13,13,-,87,53
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,SCI,Science,6,6,-,94,16
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,SCI,Science,23,23,-,77,31
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,ENGR,English Reading,54,48,6,46,226
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,ENGR,English Reading,77,61,16,23,31
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,ENGR,English Reading,71,71,-,29,21
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,ENGR,English Reading,59,53,6,41,120
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,ENGR,English Reading,42,39,3,58,133
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,ENGR,English Reading,15,15,-,85,13
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,ENGR,English Reading,49,42,7,51,106
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,ENGR,English Reading,30,22,7,70,27
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,ENGR,English Reading,66,56,9,34,32
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,MATH,Mathematics,47,44,3,53,230
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,MATH,Mathematics,78,69,9,22,32
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,MATH,Mathematics,48,43,5,52,21
