Assessments
6/15/2022

Year,Division,School,Level,Subgroup,"Test Level","Subject Area",Subject,"Percent Pass","Percent Proficiency",Advance,Fail,"Record Count"
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,5,MATH,"Grade 5 Mathematics",65,59,6,35,17
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,5,MATH,"Grade 5 Mathematics",66,59,7,34,41
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",81,69,11,19,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",5,MATH,"Grade 5 Mathematics",67,62,5,33,92
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,5,MATH,"Grade 5 Mathematics",80,53,27,20,15
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",,MATH,Mathematics,77,64,14,23,266
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,,MATH,Mathematics,88,67,21,12,52
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,,MATH,Mathematics,70,60,10,30,20
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",,MATH,Mathematics,71,63,8,29,169
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",,MATH,Mathematics,65,63,2,35,120
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,,MATH,Mathematics,75,66,8,25,134
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,,MATH,Mathematics,69,64,5,31,139
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,,MATH,Mathematics,64,56,8,36,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,,MATH,Mathematics,80,61,19,20,132
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Military Connected",,MATH,Mathematics,100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",,MATH,Mathematics,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",,MATH,Mathematics,89,66,23,11,97
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",,MATH,Mathematics,46,38,8,54,24
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",,MATH,Mathematics,81,67,14,19,242
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,,MATH,Mathematics,93,60,33,7,45
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",5,SCI,"Grade 5 Science",70,52,19,30,97
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,5,SCI,"Grade 5 Science",92,62,31,8,13
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,5,SCI,"Grade 5 Science",70,70,-,30,10
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",5,SCI,"Grade 5 Science",59,49,10,41,61
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",5,SCI,"Grade 5 Science",36,36,-,64,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,5,SCI,"Grade 5 Science",64,41,23,36,56
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,5,SCI,"Grade 5 Science",58,51,7,42,55
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,5,SCI,"Grade 5 Science",59,53,6,41,17
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,5,SCI,"Grade 5 Science",78,66,12,22,41
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",5,SCI,"Grade 5 Science",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",5,SCI,"Grade 5 Science",89,56,33,11,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",5,SCI,"Grade 5 Science",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",5,SCI,"Grade 5 Science",72,53,18,28,92
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,5,SCI,"Grade 5 Science",93,27,67,7,15
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"All Students",,SCI,Science,70,52,19,30,97
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Asian,,SCI,Science,92,62,31,8,13
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Black,,SCI,Science,70,70,-,30,10
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Economically Disadvantaged",,SCI,Science,59,49,10,41,61
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"English Learners",,SCI,Science,36,36,-,64,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Female,,SCI,Science,64,41,23,36,56
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Hispanic,,SCI,Science,58,51,7,42,55
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Homeless,,SCI,Science,59,53,6,41,17
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,Male,,SCI,Science,78,66,12,22,41
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Multiple Races",,SCI,Science,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Not Economically Disadvantaged",,SCI,Science,89,56,33,11,36
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students with Disabilities",,SCI,Science,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,"Students without Disabilities",,SCI,Science,72,53,18,28,92
"2018 - 2019","Loudoun County Public Schools","Forest Grove Elementary",SCH,White,,SCI,Science,93,27,67,7,15
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",,ENGR,"English Reading",57,50,7,43,269
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",,ENGR,"English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,,ENGR,"English Reading",70,50,20,30,20
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Black,,ENGR,"English Reading",80,70,10,20,10
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",,ENGR,"English Reading",52,49,3,48,226
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",,ENGR,"English Reading",36,36,-,64,163
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Female,,ENGR,"English Reading",59,51,8,41,138
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,,ENGR,"English Reading",53,48,5,47,220
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,,ENGR,"English Reading",37,37,-,63,46
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Male,,ENGR,"English Reading",54,48,6,46,131
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",,ENGR,"English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Multiple Races",,ENGR,"English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",,ENGR,"English Reading",84,56,28,16,43
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",,ENGR,"English Reading",36,32,4,64,28
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",,ENGR,"English Reading",59,52,7,41,241
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,White,,ENGR,"English Reading",77,54,23,23,13
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",3,ENGR,"Grade 3 English Reading",39,38,1,61,84
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"American Indian",3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Black,3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",34,34,-,66,73
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",3,ENGR,"Grade 3 English Reading",32,32,-,68,68
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Female,3,ENGR,"Grade 3 English Reading",46,46,-,54,48
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,3,ENGR,"Grade 3 English Reading",33,32,1,67,72
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,3,ENGR,"Grade 3 English Reading",18,18,-,82,17
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Male,3,ENGR,"Grade 3 English Reading",31,28,3,69,36
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Military Connected",3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Multiple Races",3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",73,64,9,27,11
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",3,ENGR,"Grade 3 English Reading",42,42,-,58,12
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",3,ENGR,"Grade 3 English Reading",39,38,1,61,72
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,White,3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",4,ENGR,"Grade 4 English Reading",55,50,5,45,100
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Black,4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",51,49,1,49,87
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",4,ENGR,"Grade 4 English Reading",38,38,-,62,68
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Female,4,ENGR,"Grade 4 English Reading",58,51,7,42,45
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,4,ENGR,"Grade 4 English Reading",52,49,4,48,84
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,4,ENGR,"Grade 4 English Reading",37,37,-,63,19
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Male,4,ENGR,"Grade 4 English Reading",53,49,4,47,55
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",85,54,31,15,13
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",4,ENGR,"Grade 4 English Reading",59,54,5,41,91
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,White,4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"All Students",5,ENGR,"Grade 5 English Reading",76,61,15,24,85
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Asian,5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Black,5,ENGR,"Grade 5 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",73,64,9,27,66
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"English Learners",5,ENGR,"Grade 5 English Reading",41,41,-,59,27
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Female,5,ENGR,"Grade 5 English Reading",76,58,18,24,45
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Hispanic,5,ENGR,"Grade 5 English Reading",75,64,11,25,64
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Homeless,5,ENGR,"Grade 5 English Reading",70,70,-,30,10
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,Male,5,ENGR,"Grade 5 English Reading",78,65,13,23,40
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Not Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",89,53,37,11,19
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students with Disabilities",5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,"Students without Disabilities",5,ENGR,"Grade 5 English Reading",78,63,15,22,78
"2018 - 2019","Loudoun County Public Schools","Guilford Elementary",SCH,White,5,ENGR,"Grade 5 English Reading",<,<,<,<,0
